combo_number,n_estimators,contamination,max_samples,max_features,precision,recall,f1
239,100,0.1,768,0.8,0.8643274853801169,0.757948717948718,0.8076502732240437
833,400,0.1,256,0.8,0.8606271777003485,0.76,0.8071895424836601
816,400,0.05,768,1.0,0.9256308100929614,0.7148717948717949,0.8067129629629629
704,300,0.07,384,1.0,0.8938826466916354,0.7343589743589743,0.8063063063063063
467,200,0.07,768,0.8,0.8938826466916354,0.7343589743589743,0.8063063063063063
1073,750,0.1,256,0.8,0.8618266978922716,0.7548717948717949,0.8048113723346091
584,250,0.07,384,1.0,0.8955974842767296,0.7302564102564103,0.8045197740112995
465,200,0.07,512,0.8,0.8864197530864197,0.7364102564102564,0.8044817927170869
703,300,0.07,384,0.8,0.8901373283395755,0.7312820512820513,0.8029279279279279
116,50,0.1,384,1.0,0.8649289099526066,0.7487179487179487,0.8026388125343595
713,300,0.1,256,0.8,0.8584795321637427,0.7528205128205128,0.8021857923497268
943,500,0.07,384,0.8,0.8950695322376738,0.7261538461538461,0.8018120045300113
474,200,0.1,256,1.0,0.8601645123384254,0.7507692307692307,0.8017524644030668
1184,1000,0.07,384,1.0,0.8960709759188846,0.7251282051282051,0.8015873015873016
1064,750,0.07,384,1.0,0.8960709759188846,0.7251282051282051,0.8015873015873016
824,400,0.07,384,1.0,0.8929471032745592,0.7271794871794872,0.8015828151498021
1193,1000,0.1,256,0.8,0.8646080760095012,0.7466666666666667,0.8013208585580628
344,150,0.07,384,1.0,0.8980891719745223,0.7230769230769231,0.8011363636363636
944,500,0.07,384,1.0,0.8959390862944162,0.7241025641025641,0.8009075439591605
345,150,0.07,512,0.8,0.8866749688667497,0.7302564102564103,0.8008998875140607
114,50,0.1,256,1.0,0.863582443653618,0.7466666666666667,0.8008800880088008
593,250,0.1,256,0.8,0.8617021276595744,0.7476923076923077,0.800658978583196
235,100,0.1,384,0.8,0.8589894242068156,0.7497435897435898,0.80065717415115
1063,750,0.07,384,0.8,0.8936708860759494,0.7241025641025641,0.8
583,250,0.07,384,0.8,0.8904282115869018,0.7251282051282051,0.7993216506500848
823,400,0.07,384,0.8,0.889308176100629,0.7251282051282051,0.7988700564971751
1183,1000,0.07,384,0.8,0.8912768647281921,0.7230769230769231,0.79841449603624
354,150,0.1,256,1.0,0.8583234946871311,0.7456410256410256,0.7980241492864983
347,150,0.07,768,0.8,0.8901515151515151,0.7230769230769231,0.797962648556876
226,100,0.07,512,1.0,0.8962868117797695,0.717948717948718,0.7972665148063781
105,50,0.07,512,0.8,0.8907242693773825,0.718974358974359,0.7956867196367764
695,300,0.05,768,0.8,0.9251700680272109,0.6974358974358974,0.7953216374269005
1055,750,0.05,768,0.8,0.9286694101508917,0.6943589743589743,0.7946009389671361
935,500,0.05,768,0.8,0.9286694101508917,0.6943589743589743,0.7946009389671361
119,50,0.1,768,0.8,0.8588516746411483,0.7364102564102564,0.792932081722805
343,150,0.07,384,0.8,0.8933161953727506,0.7128205128205128,0.7929264118653736
1175,1000,0.05,768,0.8,0.9259259259259259,0.6923076923076923,0.7922535211267606
815,400,0.05,768,0.8,0.9246575342465754,0.6923076923076923,0.7917888563049853
225,100,0.07,512,0.8,0.8876117496807152,0.7128205128205128,0.7906712172923777
94,50,0.05,512,1.0,0.9162162162162162,0.6953846153846154,0.79067055393586
463,200,0.07,384,0.8,0.890745501285347,0.7107692307692308,0.7906446092413006
115,50,0.1,384,0.8,0.8609431680773881,0.7302564102564103,0.7902330743618202
694,300,0.05,512,1.0,0.9231824417009602,0.6902564102564103,0.789906103286385
454,200,0.05,512,1.0,0.9207650273224044,0.6912820512820513,0.7896895137668424
234,100,0.1,256,1.0,0.854066985645933,0.7323076923076923,0.7885146327995582
216,100,0.05,768,1.0,0.9170068027210885,0.6912820512820513,0.7883040935672515
334,150,0.05,512,1.0,0.9228650137741047,0.6871794871794872,0.78777189888301
224,100,0.07,384,1.0,0.8932291666666666,0.7035897435897436,0.7871485943775101
